-1-
北京市小客车指标调控管理信息系统
单位新能源指标配置
期号：201601
描述：2016年第01期单位示范应用新能源小客车指标配置结果
指标配置日期：2016-02-26
实际指标配置时间：2016-02-26 10:21:35
有效编码总数：1819
指标配置总数：1819
-指标配置列表-
轮候序号 轮候时间 申请编码
225 2016-01-05 10:17:11.149 4943105318913
226 2016-01-05 10:28:33.950 8732105319111
227 2016-01-05 10:31:42.200 0781105319153
228 2016-01-05 11:01:31.438 7802105319475
229 2016-01-05 11:06:48.787 5067105319543
230 2016-01-05 11:13:41.500 2997105319641
231 2016-01-05 11:16:00.188 1458105319694
232 2016-01-05 11:16:15.958 7862105319682
233 2016-01-05 11:20:25.430 1857105319720
234 2016-01-05 11:26:38.370 4821105319796
235 2016-01-05 11:27:05.452 0442105319762
236 2016-01-05 11:34:23.683 3642105319885
237 2016-01-05 11:34:23.683 5674105319886
238 2016-01-05 11:34:23.683 9225105319887
239 2016-01-05 11:34:23.683 1150105319888
240 2016-01-05 11:34:23.683 3574105319889
241 2016-01-05 11:45:36.602 5416105319974
242 2016-01-05 11:51:09.912 9762105320030
243 2016-01-05 11:53:19.972 5422105320056
244 2016-01-05 11:56:51.371 4519105320087
245 2016-01-05 12:23:59.546 3085105320286
246 2016-01-05 12:25:31.632 3827105320275
247 2016-01-05 12:30:13.262 7688105320310
248 2016-01-05 13:01:47.118 4520105320502
249 2016-01-05 13:09:28.167 6877105320556
250 2016-01-05 13:14:36.351 8452105320575
-8-
251 2016-01-05 13:19:15.948 9820105320625
252 2016-01-05 13:25:06.364 6035105320672
253 2016-01-05 13:25:06.364 1978105320673
254 2016-01-05 13:25:06.364 3554105320674
255 2016-01-05 13:25:06.364 8567105320675
256 2016-01-05 13:25:06.364 2226105320676
257 2016-01-05 13:25:08.557 5541105320677
258 2016-01-05 13:33:25.346 3614105320737
259 2016-01-05 13:34:40.204 5935105321410
260 2016-01-05 13:47:39.545 5186105320853
261 2016-01-05 13:55:10.201 3657105320942
262 2016-01-05 14:00:33.259 1692105321022
263 2016-01-05 14:03:57.273 3932105321057
264 2016-01-05 14:05:12.810 7288105321061
265 2016-01-05 14:07:57.652 0016105321223
266 2016-01-05 14:10:39.150 1745105321131
267 2016-01-05 14:14:16.577 2743105321203
268 2016-01-05 14:14:16.577 3273105321224
269 2016-01-05 14:14:16.577 2321105321225
270 2016-01-05 14:14:16.577 5291105321226
271 2016-01-05 14:14:16.577 5045105321227
272 2016-01-05 14:21:40.443 0646105321274
273 2016-01-05 14:23:22.807 7181105321300
274 2016-01-05 14:28:16.213 7056105321321
275 2016-01-05 14:32:59.456 6597105321399
276 2016-01-05 14:38:45.550 6290105321439
277 2016-01-05 14:45:18.951 0639105321534
278 2016-01-05 14:51:46.194 3812105321608
279 2016-01-05 14:56:28.359 5554105321665
280 2016-01-05 15:02:49.266 2853105321744
281 2016-01-05 15:02:49.266 8456105321745
282 2016-01-05 15:02:49.266 1947105321746
283 2016-01-05 15:02:49.266 7962105321747
284 2016-01-05 15:02:49.266 4682105321748
285 2016-01-05 15:11:02.991 0834105321811
286 2016-01-05 15:11:02.991 5605105321812
287 2016-01-05 15:11:02.991 0614105321813
288 2016-01-05 15:11:02.991 5204105321814
-9-
289 2016-01-05 15:11:02.991 4202105321815
290 2016-01-05 15:11:49.720 0388105321823
291 2016-01-05 15:12:30.744 9528105321854
292 2016-01-05 15:18:35.878 2257105321903
293 2016-01-05 15:18:35.878 3974105321904
294 2016-01-05 15:18:35.878 2153105321905
295 2016-01-05 15:18:35.878 2455105321906
296 2016-01-05 15:18:35.878 6845105321907
297 2016-01-05 15:23:04.286 7196105321947
298 2016-01-05 16:00:01.820 4080105338099
299 2016-01-05 16:01:38.993 6424105322393
300 2016-01-05 16:21:09.290 1309105322553
301 2016-01-05 16:24:14.840 2149105322592
302 2016-01-05 16:26:25.380 5344105322631
303 2016-01-05 16:26:53.570 7755105322634
304 2016-01-05 16:33:46.884 3531105322714
305 2016-01-05 16:34:26.985 8823105322729
306 2016-01-05 16:34:51.631 1758105322766
307 2016-01-05 16:34:51.631 0882105322767
308 2016-01-05 16:34:51.631 1038105322768
309 2016-01-05 16:34:51.631 1279105322769
310 2016-01-05 16:38:05.987 0397105322763
311 2016-01-05 16:50:59.530 5360105322883
312 2016-01-05 16:54:28.270 1741105322945
313 2016-01-05 16:54:37.410 0678105322947
314 2016-01-05 16:58:10.902 5596105323014
315 2016-01-05 16:58:10.902 8769105323015
316 2016-01-05 16:58:10.902 2739105323016
317 2016-01-05 16:58:10.902 3991105323017
318 2016-01-05 16:58:10.902 7610105323018
319 2016-01-05 17:04:09.657 1235105323084
320 2016-01-05 17:04:09.657 6209105323085
321 2016-01-05 17:04:09.657 0289105323086
322 2016-01-05 17:04:09.657 1422105323087
323 2016-01-05 17:04:09.657 3881105323088
324 2016-01-05 17:07:27.470 4370105323107
325 2016-01-05 17:15:22.857 8483105323187
326 2016-01-05 17:19:53.783 1852105323247
-10-
327 2016-01-05 17:29:53.637 9620105323327
328 2016-01-05 17:44:48.539 7387105323362
329 2016-01-05 17:49:02.146 3837105323395
330 2016-01-05 17:50:50.110 1615105323425
331 2016-01-05 17:52:35.392 3980105323429
332 2016-01-05 18:06:51.324 1564105323469
